,Access,CT du lieu,CT may tinh,CNXHKH,Chuyen de ,CS du lieu,Cong nghe NET ,CNphan mem,Dai so so hoc,DS tuyen tinh,Dan so,Do an,Do hoa,Foxpro,Giai tich 1,Giai tich 2,Giai tich so,He dieu hanh ,He Quan tri CSDL1 ,He Quan tri CSDL2 ,Hinh giai tich,Hop ngu,Kinh te chinh tri,Ky thuat lap trinh,LT huong doi tuong,Lich su Dang,Logic toan ,Mang may tinh,NN hinh thuc,Ngon ngu C,NM phap luat,NM thuat toan,Pascal nang cao,PTTKHT,TK ung dung,TH he quan tri CSDL1,TH Ngon ngu C,TH nang cao3,Tieng Anh 1,Tieng Anh 2,Tieng Anh 3,Tieng Anh 4,Tieng Anh 5,Tieng Anh 6,TH dai cuong 2,TH dai cuong 1,Toan roi rac,Tri tue nhan tao,Triet hoc 1,Triet hoc 2,TT Ho Chi Minh,VL Dai cuong 1,VL Dai cuong 2,Visual Basic,Xac suat,Unnamed: 55
0,1,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
1,1,1,1,1,1,0,,1,0,1,1,,1,1,0,1,1,0,,,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,1,0,1,1,1,,1,1,1,1,1,,1,1,0,0,
2,1,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,,1,0,1,1,1,1,1,1,,1,1,0,1,1,,1,1,1,0,
3,0,1,0,1,0,0,,0,0,1,1,,0,0,0,1,0,1,,,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,,0,0,1,1,1,1,0,0,,1,1,0,1,0,,0,0,1,0,
4,0,1,0,1,1,1,,1,1,0,1,,0,1,1,0,0,0,,,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,,0,1,1,1,0,1,1,0,,0,0,0,1,0,,1,1,1,1,
5,0,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,,0,1,1,1,0,1,1,0,,1,1,0,0,0,,1,0,0,1,
6,1,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,
7,1,1,1,1,1,0,,1,0,1,1,,1,1,0,1,1,0,,,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,0,1,0,1,1,1,,1,1,1,1,1,,1,1,0,0,
8,1,1,1,0,1,0,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,,1,0,1,1,1,1,1,1,,1,1,0,1,1,,1,1,1,0,
9,0,1,0,1,0,0,,0,0,1,1,,0,0,0,1,0,1,,,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,,0,0,1,1,1,1,0,0,,1,1,0,1,0,,0,0,1,0,
